,age,workclass,education-num,marital-status,occupation,sex,capital-gain,capital-loss,hours-per-week,native-country,wage,capital-gain-bool,target,education_bachelors,education_below-hs,education_doc_prof,education_hs-grad,education_masters
100,76, Private,14, Married-civ-spouse, Exec-managerial,1,0,0,40, United-States, >50K,0,1,0,0,0,0,1
101,44, Private,13, Married-civ-spouse, Exec-managerial,1,15024,0,60, United-States, >50K,1,1,1,0,0,0,0
102,47, Self-emp-not-inc,14, Never-married, Prof-specialty,0,0,0,50, United-States, <=50K,0,0,0,0,0,0,1
103,20, Private,10, Never-married, Tech-support,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
104,29, Private,9, Never-married, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
105,32, Self-emp-inc,9, Married-civ-spouse, Craft-repair,1,7688,0,40, United-States, >50K,1,1,0,0,0,1,0
106,17, ?,6, Never-married, ?,0,34095,0,32, United-States, <=50K,1,0,0,1,0,0,0
107,30, Private,7, Never-married, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
108,31, Local-gov,9, Never-married, Adm-clerical,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
109,42, Private,9, Married-civ-spouse, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
110,24, Private,13, Never-married, Sales,1,0,0,40, United-States, <=50K,0,0,1,0,0,0,0
111,38, Private,15, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, >50K,0,1,0,0,1,0,0
112,56, Self-emp-not-inc,9, Married-civ-spouse, Other-service,1,0,1887,50, Canada, >50K,0,1,0,0,0,1,0
113,28, Private,10, Married-civ-spouse, Sales,0,4064,0,25, United-States, <=50K,1,0,0,0,0,0,0
114,36, Private,9, Never-married, Machine-op-inspct,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
115,53, Private,5, Married-civ-spouse, Handlers-cleaners,1,0,0,50, United-States, <=50K,0,0,0,1,0,0,0
116,56, Self-emp-inc,10, Married-civ-spouse, Sales,1,0,0,50, United-States, <=50K,0,0,0,0,0,0,0
117,49, Local-gov,11, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, >50K,0,1,0,0,0,0,0
118,55, Private,10, Married-civ-spouse, Sales,1,0,0,56, United-States, <=50K,0,0,0,0,0,0,0
119,22, Private,9, Never-married, Craft-repair,1,0,0,41, United-States, <=50K,0,0,0,0,0,1,0
120,21, Private,10, Never-married, Other-service,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
121,40, Private,13, Married-civ-spouse, Exec-managerial,1,0,0,60, United-States, <=50K,0,0,1,0,0,0,0
122,30, Private,13, Never-married, Exec-managerial,1,0,0,40, Germany, <=50K,0,0,1,0,0,0,0
123,29, State-gov,13, Married-civ-spouse, Prof-specialty,1,0,0,50, United-States, >50K,0,1,1,0,0,0,0
124,19, Private,10, Never-married, Other-service,1,0,0,35, United-States, <=50K,0,0,0,0,0,0,0
125,47, Private,13, Married-civ-spouse, Exec-managerial,0,0,0,40, United-States, >50K,0,1,1,0,0,0,0
126,20, Private,10, Never-married, Adm-clerical,0,0,1719,28, United-States, <=50K,0,0,0,0,0,0,0
127,31, Private,12, Married-civ-spouse, Adm-clerical,1,0,0,40, United-States, >50K,0,1,0,0,0,0,0
128,35, ?,9, Married-civ-spouse, ?,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
129,39, Private,10, Divorced, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
130,28, Private,12, Never-married, Sales,0,0,0,60, United-States, <=50K,0,0,0,0,0,0,0
131,24, Private,9, Never-married, Other-service,0,0,1762,40, United-States, <=50K,0,0,0,0,0,1,0
132,38, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair,1,4386,0,35, United-States, <=50K,1,0,0,0,0,1,0
133,37, Private,13, Married-civ-spouse, Sales,1,0,0,50, United-States, <=50K,0,0,1,0,0,0,0
134,46, Private,12, Divorced, Tech-support,0,0,0,36, United-States, <=50K,0,0,0,0,0,0,0
135,38, Federal-gov,14, Married-civ-spouse, Prof-specialty,1,0,0,40, Iran, >50K,0,1,0,0,0,0,1
136,43, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair,1,0,0,60, United-States, <=50K,0,0,0,0,0,1,0
137,27, Private,11, Married-civ-spouse, Adm-clerical,0,0,0,35, United-States, <=50K,0,0,0,0,0,0,0
138,20, Private,10, Never-married, Sales,1,0,0,20, United-States, <=50K,0,0,0,0,0,0,0
139,49, Private,10, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, >50K,0,1,0,0,0,0,0
140,61, Self-emp-inc,9, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
141,27, Private,10, Never-married, Sales,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
142,19, Private,10, Never-married, Other-service,1,0,0,30, Mexico, <=50K,0,0,0,0,0,0,0
143,45, Private,11, Never-married, Prof-specialty,0,0,1564,40, United-States, >50K,0,1,0,0,0,0,0
144,70, Private,10, Never-married, Tech-support,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
145,31, Private,9, Never-married, Transport-moving,0,0,0,30, United-States, <=50K,0,0,0,0,0,1,0
146,22, Private,10, Married-civ-spouse, Other-service,1,0,0,24, United-States, <=50K,0,0,0,0,0,0,0
147,36, Private,9, Widowed, Other-service,0,0,0,24, United-States, <=50K,0,0,0,0,0,1,0
148,64, Private,7, Married-civ-spouse, Craft-repair,1,0,2179,40, United-States, <=50K,0,0,0,1,0,0,0
149,43, ?,10, Divorced, ?,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
150,47, Local-gov,10, Divorced, Adm-clerical,0,0,0,38, Mexico, <=50K,0,0,0,0,0,0,0
151,34, Private,9, Never-married, Adm-clerical,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
152,33, Private,13, Never-married, Exec-managerial,0,0,0,40, Philippines, <=50K,0,0,1,0,0,0,0
153,21, Private,9, Never-married, Craft-repair,1,0,0,35, United-States, <=50K,0,0,0,0,0,1,0
154,52, ?,9, Divorced, ?,1,0,0,45, United-States, >50K,0,1,0,0,0,1,0
155,48, Private,9, Married-civ-spouse, Craft-repair,1,0,0,46, United-States, <=50K,0,0,0,0,0,1,0
156,23, Private,13, Never-married, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,1,0,0,0,0
157,71, Self-emp-not-inc,10, Separated, Sales,1,0,1816,2, United-States, <=50K,0,0,0,0,0,0,0
158,29, Private,9, Divorced, Craft-repair,1,0,0,60, United-States, <=50K,0,0,0,0,0,1,0
159,42, Private,13, Separated, Other-service,1,0,0,50, United-States, <=50K,0,0,1,0,0,0,0
160,68, ?,2, Divorced, ?,0,0,0,20, United-States, <=50K,0,0,0,1,0,0,0
161,25, Private,9, Never-married, Other-service,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
162,44, Self-emp-inc,14, Divorced, Exec-managerial,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,1
163,28, Private,9, Never-married, Exec-managerial,0,0,0,40, England, <=50K,0,0,0,0,0,1,0
164,45, Self-emp-not-inc,14, Married-civ-spouse, Sales,1,0,0,40, United-States, >50K,0,1,0,0,0,0,1
165,36, Private,10, Divorced, Other-service,0,0,0,40, Mexico, <=50K,0,0,0,0,0,0,0
166,39, Federal-gov,12, Never-married, Exec-managerial,1,0,0,42, United-States, <=50K,0,0,0,0,0,0,0
167,46, State-gov,14, Widowed, Protective-serv,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,1
168,18, Private,7, Never-married, Handlers-cleaners,1,0,0,16, United-States, <=50K,0,0,0,1,0,0,0
169,66, Local-gov,11, Widowed, Prof-specialty,0,0,0,20, United-States, <=50K,0,0,0,0,0,0,0
170,27, Private,9, Never-married, Other-service,1,0,1980,40, United-States, <=50K,0,0,0,0,0,1,0
171,28, State-gov,9, Married-civ-spouse, Protective-serv,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
172,51, Private,10, Married-civ-spouse, Sales,1,0,1977,40, United-States, >50K,0,1,0,0,0,0,0
173,27, Private,13, Never-married, Craft-repair,1,0,0,50, United-States, <=50K,0,0,1,0,0,0,0
174,28, State-gov,13, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, >50K,0,1,1,0,0,0,0
175,27, Private,9, Married-spouse-absent, Sales,0,0,0,25, United-States, <=50K,0,0,0,0,0,1,0
176,21, Private,9, Never-married, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
177,34, Private,9, Never-married, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
178,18, Private,9, Never-married, Other-service,1,0,0,12, United-States, <=50K,0,0,0,0,0,1,0
179,33, Private,13, Married-civ-spouse, Prof-specialty,1,0,0,65, United-States, <=50K,0,0,1,0,0,0,0
180,44, Local-gov,10, Married-civ-spouse, Exec-managerial,1,0,0,38, United-States, >50K,0,1,0,0,0,0,0
181,43, Private,10, Divorced, Adm-clerical,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
182,30, Private,10, Never-married, Craft-repair,1,0,0,45, United-States, <=50K,0,0,0,0,0,0,0
183,40, Private,4, Married-civ-spouse, Machine-op-inspct,1,0,0,40, Mexico, >50K,0,1,0,1,0,0,0
184,37, Federal-gov,10, Married-civ-spouse, Adm-clerical,1,0,0,42, United-States, >50K,0,1,0,0,0,0,0
185,34, Private,9, Married-civ-spouse, Adm-clerical,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
186,41, Self-emp-not-inc,13, Divorced, Exec-managerial,0,0,0,40, United-States, <=50K,0,0,1,0,0,0,0
187,53, ?,13, Divorced, ?,0,0,0,50, United-States, <=50K,0,0,1,0,0,0,0
188,31, Private,14, Married-civ-spouse, Prof-specialty,0,0,0,50, United-States, <=50K,0,0,0,0,0,0,1
189,58, State-gov,16, Married-civ-spouse, Prof-specialty,1,0,0,1, United-States, >50K,0,1,0,0,1,0,0
190,38, Private,10, Divorced, Machine-op-inspct,0,0,0,28, United-States, <=50K,0,0,0,0,0,0,0
191,24, Private,10, Married-civ-spouse, Machine-op-inspct,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
192,41, Local-gov,13, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, <=50K,0,0,1,0,0,0,0
193,47, Private,10, Married-civ-spouse, Tech-support,1,0,0,45, United-States, <=50K,0,0,0,0,0,0,0
194,41, Federal-gov,13, Married-civ-spouse, Tech-support,1,0,0,24, United-States, <=50K,0,0,1,0,0,0,0
195,23, Private,3, Married-civ-spouse, Transport-moving,1,0,0,40, Mexico, <=50K,0,0,0,1,0,0,0
196,36, Private,10, Divorced, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
197,40, Federal-gov,14, Never-married, Exec-managerial,0,14084,0,55, United-States, >50K,1,1,0,0,0,0,1
198,35, Private,14, Married-civ-spouse, Prof-specialty,1,7298,0,40, United-States, >50K,1,1,0,0,0,0,1
199,24, Self-emp-not-inc,9, Never-married, Sales,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
200,26, Private,14, Never-married, Prof-specialty,0,0,1876,40, United-States, <=50K,0,0,0,0,0,0,1
201,19, ?,9, Never-married, ?,1,0,0,40, Italy, <=50K,0,0,0,0,0,1,0
202,51, Private,13, Married-civ-spouse, Exec-managerial,1,0,0,50, United-States, >50K,0,1,1,0,0,0,0
203,42, Local-gov,10, Never-married, Prof-specialty,0,0,1340,40, United-States, <=50K,0,0,0,0,0,0,0
204,37, State-gov,9, Divorced, Adm-clerical,0,0,0,35, United-States, <=50K,0,0,0,0,0,1,0
205,18, Private,7, Never-married, Sales,0,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
206,36, Private,13, Married-civ-spouse, Other-service,1,7298,0,36, United-States, >50K,1,1,1,0,0,0,0
207,35, Private,9, Divorced, Craft-repair,1,0,0,60, United-States, <=50K,0,0,0,0,0,1,0
208,58, Self-emp-inc,9, Married-civ-spouse, Sales,0,15024,0,35, United-States, >50K,1,1,0,0,0,1,0
209,17, Private,7, Never-married, Sales,0,0,0,12, United-States, <=50K,0,0,0,1,0,0,0
210,44, Local-gov,9, Married-civ-spouse, Transport-moving,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
211,37, Private,9, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, >50K,0,1,0,0,0,1,0
212,35, Private,10, Never-married, Sales,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
213,60, Private,9, Married-civ-spouse, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
214,54, Self-emp-inc,4, Married-civ-spouse, Machine-op-inspct,1,0,0,40, United-States, >50K,0,1,0,1,0,0,0
215,37, Private,13, Never-married, Exec-managerial,1,0,0,60, United-States, >50K,0,1,1,0,0,0,0
216,50, Private,12, Divorced, Sales,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
217,38, Private,13, Married-civ-spouse, Sales,1,0,0,50, Poland, <=50K,0,0,1,0,0,0,0
218,45, Private,13, Married-civ-spouse, Prof-specialty,1,0,0,55, United-States, <=50K,0,0,1,0,0,0,0
219,25, Private,6, Never-married, Craft-repair,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
220,31, Private,10, Married-civ-spouse, Handlers-cleaners,1,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
221,64, ?,2, Divorced, ?,1,0,0,40, United-States, <=50K,0,0,0,1,0,0,0
222,90, Private,9, Never-married, Other-service,1,0,2206,40, United-States, <=50K,0,0,0,0,0,1,0
223,54, Private,9, Married-civ-spouse, Adm-clerical,1,0,0,20, United-States, <=50K,0,0,0,0,0,1,0
224,53, Local-gov,1, Never-married, Machine-op-inspct,0,0,0,35, United-States, <=50K,0,0,0,1,0,0,0
225,18, Private,9, Never-married, Sales,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
226,60, ?,6, Divorced, ?,0,0,0,10, United-States, <=50K,0,0,0,1,0,0,0
227,66, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing,1,1409,0,50, United-States, <=50K,1,0,0,0,0,1,0
228,75, Private,11, Widowed, Adm-clerical,0,0,0,20, Columbia, <=50K,0,0,0,0,0,0,0
229,65, Private,9, Divorced, Adm-clerical,0,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
230,35, Private,7, Separated, Transport-moving,1,3674,0,40, United-States, <=50K,1,0,0,1,0,0,0
231,41, Private,9, Divorced, Sales,0,0,0,38, United-States, <=50K,0,0,0,0,0,1,0
232,25, Private,10, Never-married, Adm-clerical,1,0,0,42, United-States, <=50K,0,0,0,0,0,0,0
233,33, Private,10, Divorced, Craft-repair,0,0,0,40, United-States, <=50K,0,0,0,0,0,0,0
234,28, Private,15, Never-married, Prof-specialty,1,0,0,55, United-States, >50K,0,1,0,0,1,0,0
235,59, State-gov,9, Married-civ-spouse, Other-service,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
236,40, State-gov,10, Never-married, Adm-clerical,0,0,0,38, United-States, <=50K,0,0,0,0,0,0,0
237,41, Private,13, Married-civ-spouse, Exec-managerial,1,0,0,50, Iran, >50K,0,1,1,0,0,0,0
238,38, Local-gov,14, Married-civ-spouse, Exec-managerial,1,0,0,70, United-States, >50K,0,1,0,0,0,0,1
239,23, Private,9, Never-married, Transport-moving,1,0,0,40, United-States, <=50K,0,0,0,0,0,1,0
240,40, Private,13, Married-civ-spouse, Prof-specialty,1,0,0,40, United-States, >50K,0,1,1,0,0,0,0
241,41, Self-emp-not-inc,9, Married-civ-spouse, Other-service,0,0,0,20, United-States, <=50K,0,0,0,0,0,1,0
242,24, State-gov,12, Married-civ-spouse, Protective-serv,1,0,0,50, United-States, <=50K,0,0,0,0,0,0,0
243,20, ?,10, Never-married, ?,1,0,0,20, United-States, <=50K,0,0,0,0,0,0,0
244,38, Private,10, Divorced, Craft-repair,1,0,1741,40, United-States, <=50K,0,0,0,0,0,0,0
245,56, Private,9, Married-civ-spouse, Adm-clerical,1,0,0,35, ?, <=50K,0,0,0,0,0,1,0
246,58, Private,9, Married-civ-spouse, Adm-clerical,1,0,0,45, United-States, >50K,0,1,0,0,0,1,0
247,32, Private,9, Never-married, Other-service,0,0,0,34, United-States, <=50K,0,0,0,0,0,1,0
248,40, Private,12, Married-civ-spouse, Tech-support,1,0,1977,60, United-States, >50K,0,1,0,0,0,0,0
